Data collector,Author,Year,Journal,Vol.p.p,Species,Native,Sample size,Fitness measure,Trait,Selection differential (s),s standard error ,s significance,Selection gradient (B),B standard error,B significance
KingsolverDiamond,Brown and Weatherhead,1999,Behavioral Ecology and Sociobiology ,47:9-16,Nerodia sipedon,yes,36,number of mating partners,fat content,,,,0.25,,
KingsolverDiamond,Brown and Weatherhead,1999,Behavioral Ecology and Sociobiology ,47:9-16,Nerodia sipedon,yes,25,number of mating aggregations,fat content,,,,0.31,,
KingsolverDiamond,Brown and Weatherhead,1999,Behavioral Ecology and Sociobiology ,47:9-16,Nerodia sipedon,yes,25,number of partners,fat content,,,,0.31,,
KingsolverDiamond,Brown and Weatherhead,1999,Behavioral Ecology and Sociobiology ,47:9-16,Nerodia sipedon,yes,33,number of partners,fat content,,,,0.34,,
KingsolverDiamond,Brown and Weatherhead,1999,Behavioral Ecology and Sociobiology ,47:9-16,Nerodia sipedon,yes,33,number of mating aggregations,fat content,,,,0.4,,
KingsolverDiamond,Brown and Weatherhead,1999,Behavioral Ecology and Sociobiology ,47:9-16,Nerodia sipedon,yes,40,number of mating aggregations,fat content,,,,0.43,,
CPT,Calsbeek et al,2008,J Animal Ecology,77:103-109,Anolis sagrei,yes,125,survival,swelling,,,,0.85,0.35,sig
CPT,Calsbeek et al,2008,J Animal Ecology,77:103-109,Anolis sagrei,yes,68,survival,morph,,,,0.19,0.29,ns
KingsolverDiamond,Campbell,1991,Am Nat,137(6):713-737,Ipomopsis aggregata,yes,NA,undamaged seeds per seed set (W4),corolla length,-0.01,,ns,,,
KingsolverDiamond,Campbell,1991,Am Nat,137(6):713-737,Ipomopsis aggregata,yes,77,pollen per flower (W2),corolla length,-0.01,,ns,,,
KingsolverDiamond,Campbell,1991,Am Nat,137(6):713-737,Ipomopsis aggregata,yes,NA,seeds per pollen (W3),corolla width,-0.01,,ns,,,
KingsolverDiamond,Campbell,1991,Am Nat,137(6):713-737,Ipomopsis aggregata,yes,77,seeds per pollen (W3),flowering date,0.01,,ns,,,
KingsolverDiamond,Campbell,1991,Am Nat,137(6):713-737,Ipomopsis aggregata,yes,NA,undamaged seeds per seed set (W4),corolla length,-0.02,,ns,,,
KingsolverDiamond,Campbell,1991,Am Nat,137(6):713-737,Ipomopsis aggregata,yes,69,pollen per flower (W2),corolla width,-0.02,,ns,,,
KingsolverDiamond,Campbell,1991,Am Nat,137(6):713-737,Ipomopsis aggregata,yes,633,total undamaged seeds (Wt),proportion pistillate,0.02,,ns,,,
KingsolverDiamond,Campbell,1991,Am Nat,137(6):713-737,Ipomopsis aggregata,yes,69,undamaged seeds per seed set (W4),corolla width,0.02,,ns,,,
KingsolverDiamond,Campbell,1991,Am Nat,137(6):713-737,Ipomopsis aggregata,yes,69,seeds per pollen (W3),stigma exsertion,-0.03,,ns,,,
KingsolverDiamond,Campbell,1991,Am Nat,137(6):713-737,Ipomopsis aggregata,yes,69,undamaged seeds per seed set (W4),flowering date,0.03,,ns,,,
KingsolverDiamond,Campbell,1991,Am Nat,137(6):713-737,Ipomopsis aggregata,yes,69,number of flowers (W1),stigma exsertion,0.03,,ns,,,
KingsolverDiamond,Campbell,1991,Am Nat,137(6):713-737,Ipomopsis aggregata,yes,77,number of flowers (W1),stigma exsertion,0.03,,ns,,,
KingsolverDiamond,Campbell,1991,Am Nat,137(6):713-737,Ipomopsis aggregata,yes,77,undamaged seeds per seed set (W4),corolla length,-0.04,,sig,,,
KingsolverDiamond,Campbell,1991,Am Nat,137(6):713-737,Ipomopsis aggregata,yes,69,pollen per flower (W2),corolla length,-0.04,,ns,,,
KingsolverDiamond,Campbell,1991,Am Nat,137(6):713-737,Ipomopsis aggregata,yes,NA,seeds per pollen (W3),corolla width,-0.04,,ns,,,
KingsolverDiamond,Campbell,1991,Am Nat,137(6):713-737,Ipomopsis aggregata,yes,69,undamaged seeds per seed set (W4),corolla length,0.04,,ns,,,
KingsolverDiamond,Campbell,1991,Am Nat,137(6):713-737,Ipomopsis aggregata,yes,77,number of flowers (W1),proportion pistillate,0.04,,ns,,,
KingsolverDiamond,Campbell,1991,Am Nat,137(6):713-737,Ipomopsis aggregata,yes,NA,undamaged seeds per seed set (W4),stigma exsertion,0.04,,ns,,,
KingsolverDiamond,Campbell,1991,Am Nat,137(6):713-737,Ipomopsis aggregata,yes,77,undamaged seeds per seed set (W4),flowering date,-0.05,,sig,,,
KingsolverDiamond,Campbell,1991,Am Nat,137(6):713-737,Ipomopsis aggregata,yes,69,undamaged seeds per seed set (W4),proportion pistillate,0.05,,ns,,,
KingsolverDiamond,Campbell,1991,Am Nat,137(6):713-737,Ipomopsis aggregata,yes,77,total undamaged seeds (Wt),proportion pistillate,-0.06,,ns,,,
KingsolverDiamond,Campbell,1991,Am Nat,137(6):713-737,Ipomopsis aggregata,yes,69,number of flowers (W1),corolla width,0.06,,ns,,,
KingsolverDiamond,Campbell,1991,Am Nat,137(6):713-737,Ipomopsis aggregata,yes,69,undamaged seeds per seed set (W4),stigma exsertion,0.07,,sig,,,
KingsolverDiamond,Campbell,1991,Am Nat,137(6):713-737,Ipomopsis aggregata,yes,69,pollen per flower (W2),stigma exsertion,0.08,,sig,,,
KingsolverDiamond,Campbell,1991,Am Nat,137(6):713-737,Ipomopsis aggregata,yes,69,number of flowers (W1),corolla length,0.08,,ns,,,
KingsolverDiamond,Campbell,1991,Am Nat,137(6):713-737,Ipomopsis aggregata,yes,54,pollen per flower (W2),corolla width,0.09,,ns,,,
KingsolverDiamond,Campbell,1991,Am Nat,137(6):713-737,Ipomopsis aggregata,yes,NA,undamaged seeds per seed set (W4),stigma exsertion,0.09,,ns,,,
KingsolverDiamond,Campbell,1991,Am Nat,137(6):713-737,Ipomopsis aggregata,yes,69,seeds per pollen (W3),proportion pistillate,-0.1,,ns,,,
KingsolverDiamond,Campbell,1991,Am Nat,137(6):713-737,Ipomopsis aggregata,yes,77,undamaged seeds per seed set (W4),stigma exsertion,0.11,,sig,,,
KingsolverDiamond,Campbell,1991,Am Nat,137(6):713-737,Ipomopsis aggregata,yes,69,number of flowers (W1),proportion pistillate,0.11,,ns,,,
KingsolverDiamond,Campbell,1991,Am Nat,137(6):713-737,Ipomopsis aggregata,yes,77,undamaged seeds per seed set (W4),proportion pistillate,0.12,,sig,,,
KingsolverDiamond,Campbell,1991,Am Nat,137(6):713-737,Ipomopsis aggregata,yes,116,pollen per flower (W2),proportion pistillate,0.13,,ns,,,
KingsolverDiamond,Campbell,1991,Am Nat,137(6):713-737,Ipomopsis aggregata,yes,77,number of flowers (W1),corolla length,0.13,,ns,,,
KingsolverDiamond,Campbell,1991,Am Nat,137(6):713-737,Ipomopsis aggregata,yes,54,number of flowers (W1),corolla width,0.13,,ns,,,
KingsolverDiamond,Campbell,1991,Am Nat,137(6):713-737,Ipomopsis aggregata,yes,77,total undamaged seeds (Wt),stigma exsertion,0.13,,ns,,,
KingsolverDiamond,Campbell,1991,Am Nat,137(6):713-737,Ipomopsis aggregata,yes,69,seeds per pollen (W3),corolla width,0.15,,sig,,,
KingsolverDiamond,Campbell,1991,Am Nat,137(6):713-737,Ipomopsis aggregata,yes,77,total undamaged seeds (Wt),flowering date,0.15,,ns,,,
KingsolverDiamond,Campbell,1991,Am Nat,137(6):713-737,Ipomopsis aggregata,yes,46,total undamaged seeds (Wt),stigma exsertion,0.15,,ns,,,
KingsolverDiamond,Campbell,1991,Am Nat,137(6):713-737,Ipomopsis aggregata,yes,69,number of flowers (W1),flowering date,-0.16,,sig,,,
KingsolverDiamond,Campbell,1991,Am Nat,137(6):713-737,Ipomopsis aggregata,yes,NA,undamaged seeds per seed set (W4),corolla length,-0.17,,ns,,,
KingsolverDiamond,Campbell,1991,Am Nat,137(6):713-737,Ipomopsis aggregata,yes,54,seeds per pollen (W3),corolla width,0.18,,ns,,,
KingsolverDiamond,Campbell,1991,Am Nat,137(6):713-737,Ipomopsis aggregata,yes,NA,total undamaged seeds (Wt),corolla length,-0.19,,ns,,,
KingsolverDiamond,Campbell,1991,Am Nat,137(6):713-737,Ipomopsis aggregata,yes,NA,total undamaged seeds (Wt),corolla length,-0.19,,ns,,,
KingsolverDiamond,Campbell,1991,Am Nat,137(6):713-737,Ipomopsis aggregata,yes,77,pollen per flower (W2),flowering date,0.19,,sig,,,
KingsolverDiamond,Campbell,1991,Am Nat,137(6):713-737,Ipomopsis aggregata,yes,77,pollen per flower (W2),stigma exsertion,0.2,,sig,,,
KingsolverDiamond,Campbell,1991,Am Nat,137(6):713-737,Ipomopsis aggregata,yes,69,pollen per flower (W2),flowering date,0.2,,ns,,,
KingsolverDiamond,Campbell,1991,Am Nat,137(6):713-737,Ipomopsis aggregata,yes,77,seeds per pollen (W3),stigma exsertion,-0.21,,ns,,,
KingsolverDiamond,Campbell,1991,Am Nat,137(6):713-737,Ipomopsis aggregata,yes,NA,undamaged seeds per seed set (W4),corolla length,0.21,,sig,,,
KingsolverDiamond,Campbell,1991,Am Nat,137(6):713-737,Ipomopsis aggregata,yes,46,total undamaged seeds (Wt),corolla width,0.21,,ns,,,
KingsolverDiamond,Campbell,1991,Am Nat,137(6):713-737,Ipomopsis aggregata,yes,69,pollen per flower (W2),proportion pistillate,0.22,,sig,,,
KingsolverDiamond,Campbell,1991,Am Nat,137(6):713-737,Ipomopsis aggregata,yes,77,pollen per flower (W2),proportion pistillate,0.22,,sig,,,
KingsolverDiamond,Campbell,1991,Am Nat,137(6):713-737,Ipomopsis aggregata,yes,NA,total undamaged seeds (Wt),corolla length,-0.25,,ns,,,
KingsolverDiamond,Campbell,1991,Am Nat,137(6):713-737,Ipomopsis aggregata,yes,69,seeds per pollen (W3),corolla length,0.26,,ns,,,
KingsolverDiamond,Campbell,1991,Am Nat,137(6):713-737,Ipomopsis aggregata,yes,46,total undamaged seeds (Wt),proportion pistillate,0.28,,ns,,,
KingsolverDiamond,Campbell,1991,Am Nat,137(6):713-737,Ipomopsis aggregata,yes,20,pollen per flower (W2),flowering date,-0.3,,ns,,,
KingsolverDiamond,Campbell,1991,Am Nat,137(6):713-737,Ipomopsis aggregata,yes,46,total undamaged seeds (Wt),flowering date,-0.32,,ns,,,
KingsolverDiamond,Campbell,1991,Am Nat,137(6):713-737,Ipomopsis aggregata,yes,1075,total undamaged seeds (Wt),flowering date,-0.34,,sig,,,
KingsolverDiamond,Campbell,1991,Am Nat,137(6):713-737,Ipomopsis aggregata,yes,NA,undamaged seeds per seed set (W4),stigma exsertion,0.34,,sig,,,
KingsolverDiamond,Campbell,1991,Am Nat,137(6):713-737,Ipomopsis aggregata,yes,46,total undamaged seeds (Wt),corolla length,0.35,,ns,,,
KingsolverDiamond,Campbell,1991,Am Nat,137(6):713-737,Ipomopsis aggregata,yes,NA,seeds per pollen (W3),corolla width,0.36,,sig,,,
KingsolverDiamond,Campbell,1991,Am Nat,137(6):713-737,Ipomopsis aggregata,yes,77,seeds per pollen (W3),corolla length,0.36,,sig,,,
KingsolverDiamond,Campbell,1991,Am Nat,137(6):713-737,Ipomopsis aggregata,yes,15,pollen per flower (W2),proportion pistillate,0.37,,ns,,,
KingsolverDiamond,Campbell,1991,Am Nat,137(6):713-737,Ipomopsis aggregata,yes,15,pollen per flower (W2),stigma exsertion,0.37,,ns,,,
KingsolverDiamond,Campbell,1991,Am Nat,137(6):713-737,Ipomopsis aggregata,yes,69,seeds per pollen (W3),flowering date,-0.39,,ns,,,
KingsolverDiamond,Campbell,1991,Am Nat,137(6):713-737,Ipomopsis aggregata,yes,54,total undamaged seeds (Wt),corolla width,0.4,,ns,,,
KingsolverDiamond,Campbell,1991,Am Nat,137(6):713-737,Ipomopsis aggregata,yes,204,pollen per flower (W2),flowering date,-0.44,,sig,,,
KingsolverDiamond,Campbell,1991,Am Nat,137(6):713-737,Ipomopsis aggregata,yes,77,seeds per pollen (W3),proportion pistillate,-0.44,,sig,,,
KingsolverDiamond,Campbell,1991,Am Nat,137(6):713-737,Ipomopsis aggregata,yes,77,total undamaged seeds (Wt),corolla length,0.44,,sig,,,
KingsolverDiamond,Campbell,1991,Am Nat,137(6):713-737,Ipomopsis aggregata,yes,NA,total undamaged seeds (Wt),corolla length,1.81,,sig,,,
KingsolverDiamond,Campbell,1991,Am Nat,137(6):713-737,Ipomopsis aggregata,yes,77,number of flowers (W1),flowering date,,,ns,,,
KingsolverDiamond,Campbell,1991,Am Nat,137(6):713-737,Ipomopsis aggregata,yes,54,undamaged seeds per seed set (W4),corolla width,,,ns,,,
KingsolverDiamond,Campbell,1991,Am Nat,137(6):713-737,Ipomopsis aggregata,yes,NA,undamaged seeds per seed set (W4),stigma exsertion,,,ns,,,
KingsolverDiamond,Campbell,1991,Am Nat,137(6):713-737,Ipomopsis aggregata,yes,NA,seeds per pollen (W3),corolla width,,,,,,
KingsolverDiamond,Campbell et al.,1991,Evolution,45(6):1458-1467,Ipomopsis aggregata,yes,10,"visitation rate, pollen exported",corolla width,0.02,,,,,
KingsolverDiamond,Campbell et al.,1991,Evolution,45(6):1458-1467,Ipomopsis aggregata,yes,18,"visitation rate, pollen exported",corolla width,-0.09,,,,,
KingsolverDiamond,Campbell et al.,1991,Evolution,45(6):1458-1467,Ipomopsis aggregata,yes,18,"visitation rate, pollen exported",corolla width,0.18,,,,,
KingsolverDiamond,Campbell et al.,1991,Evolution,45(6):1458-1467,Ipomopsis aggregata,yes,18,"visitation rate, pollen exported",corolla width,0.21,,,,,
KingsolverDiamond,Campbell et al.,1991,Evolution,45(6):1458-1467,Ipomopsis aggregata,yes,20,"visitation rate, pollen exported",corolla width,0.27,,,,,
KingsolverDiamond,Campbell et al.,1991,Evolution,45(6):1458-1467,Ipomopsis aggregata,yes,20,"visitation rate, pollen exported",corolla width,0.36,,,,,
KingsolverDiamond,Campbell et al.,1991,Evolution,45(6):1458-1467,Ipomopsis aggregata,yes,20,"visitation rate, pollen exported",corolla width,0.64,,,,,
CPT,Carlson and Quinn,2007,Ecology,88:2620-2629,Oncorhynchus nerka,yes,1619,survival,body size,-0.29,0.077,sig,,,
CPT,Carlson and Quinn,2007,Ecology,88:2620-2629,Oncorhynchus nerka,yes,2264,survival,body size,-0.37,0.045,sig,,,
CPT,Carlson and Quinn,2007,Ecology,88:2620-2629,Oncorhynchus nerka,yes,3170,survival,body size,-0.44,0.053,sig,,,
CPT,Carlson and Quinn,2007,Ecology,88:2620-2629,Oncorhynchus nerka,yes,2725,survival,body size,-0.54,0.074,sig,,,
CPT,Carlson and Quinn,2007,Ecology,88:2620-2629,Oncorhynchus nerka,yes,1633,survival,body size,-0.56,0.057,sig,,,
CPT,Carlson and Quinn,2007,Ecology,88:2620-2629,Oncorhynchus nerka,yes,1258,survival,body size,-0.57,0.065,sig,,,
CPT,Carlson and Quinn,2007,Ecology,88:2620-2629,Oncorhynchus nerka,yes,1704,survival,body size,-0.59,0.0635,sig,,,
CPT,Carlson and Quinn,2007,Ecology,88:2620-2629,Oncorhynchus nerka,yes,1609,survival,body size,-0.59,0.069,sig,,,
CPT,Carlson and Quinn,2007,Ecology,88:2620-2629,Oncorhynchus nerka,yes,1803,survival,body size,-0.65,0.0625,sig,,,
CPT,Carlson and Quinn,2007,Ecology,88:2620-2629,Oncorhynchus nerka,yes,1514,survival,body size,-0.66,0.0855,sig,,,
CPT,Carlson and Quinn,2007,Ecology,88:2620-2629,Oncorhynchus nerka,yes,1161,survival,body size,-0.66,0.0715,sig,,,
CPT,Carlson and Quinn,2007,Ecology,88:2620-2629,Oncorhynchus nerka,yes,1443,survival,body size,-0.67,0.057,sig,,,
CPT,Carlson and Quinn,2007,Ecology,88:2620-2629,Oncorhynchus nerka,yes,1246,survival,body size,-0.69,0.132,sig,,,
CPT,Carlson and Quinn,2007,Ecology,88:2620-2629,Oncorhynchus nerka,yes,599,survival,body size,-0.79,0.291,ns,,,
CPT,Carlson and Quinn,2007,Ecology,88:2620-2629,Oncorhynchus nerka,yes,1085,survival,body size,-0.81,0.1025,sig,,,
CPT,Carlson and Quinn,2007,Ecology,88:2620-2629,Oncorhynchus nerka,yes,764,survival,body size,-1.01,0.0835,sig,,,
CPT,Carlson and Quinn,2007,Ecology,88:2620-2629,Oncorhynchus nerka,yes,1519,survival,body size,-1.04,0.109,sig,,,
CPT,Carlson and Quinn,2007,Ecology,88:2620-2629,Oncorhynchus nerka,yes,1049,survival,body size,-1.11,0.0945,sig,,,
CPT,Carlson and Quinn,2007,Ecology,88:2620-2629,Oncorhynchus nerka,yes,1689,survival,body size,-1.18,0.1825,sig,,,
KingsolverDiamond,Carlson et al.,2007,Ecology Letters,10:512-421,Esox lucius,yes,NA,survival,body length,-0.01,,ns,,,
KingsolverDiamond,Carlson et al.,2007,Ecology Letters,10:512-421,Esox lucius,yes,NA,survival,body length,0.01,,ns,,,
KingsolverDiamond,Carlson et al.,2007,Ecology Letters,10:512-421,Esox lucius,yes,NA,survival,body length,0.03,,ns,,,
KingsolverDiamond,Carlson et al.,2007,Ecology Letters,10:512-421,Esox lucius,yes,36,survival,body length,-0.04,,ns,,,
KingsolverDiamond,Carlson et al.,2007,Ecology Letters,10:512-421,Esox lucius,yes,NA,survival,body length,0.04,,ns,,,
KingsolverDiamond,Carlson et al.,2007,Ecology Letters,10:512-421,Esox lucius,yes,116,survival,body length,0.08,,ns,,,
KingsolverDiamond,Carlson et al.,2007,Ecology Letters,10:512-421,Esox lucius,yes,NA,survival,body length,0.1,,sig,,,
KingsolverDiamond,Carlson et al.,2007,Ecology Letters,10:512-421,Esox lucius,yes,NA,survival,body length,0.1,,ns,,,
KingsolverDiamond,Carlson et al.,2007,Ecology Letters,10:512-421,Esox lucius,yes,NA,survival,body length,0.1,,ns,,,
KingsolverDiamond,Carlson et al.,2007,Ecology Letters,10:512-421,Esox lucius,yes,NA,survival,body length,0.11,,ns,,,
KingsolverDiamond,Carlson et al.,2007,Ecology Letters,10:512-421,Esox lucius,yes,NA,survival,body length,0.12,,sig,,,
KingsolverDiamond,Carlson et al.,2007,Ecology Letters,10:512-421,Esox lucius,yes,248,survival,body length,0.12,,ns,,,
KingsolverDiamond,Carlson et al.,2007,Ecology Letters,10:512-421,Esox lucius,yes,170,survival,body length,0.13,,ns,,,
KingsolverDiamond,Carlson et al.,2007,Ecology Letters,10:512-421,Esox lucius,yes,NA,survival,body length,0.14,,ns,,,
KingsolverDiamond,Carlson et al.,2007,Ecology Letters,10:512-421,Esox lucius,yes,NA,survival,body length,0.14,,ns,,,
KingsolverDiamond,Carlson et al.,2007,Ecology Letters,10:512-421,Esox lucius,yes,182,survival,body length,0.15,,sig,,,
KingsolverDiamond,Carlson et al.,2007,Ecology Letters,10:512-421,Esox lucius,yes,NA,survival,body length,-0.17,,ns,,,
KingsolverDiamond,Carlson et al.,2007,Ecology Letters,10:512-421,Esox lucius,yes,34,survival,body length,-0.17,,ns,,,
KingsolverDiamond,Carlson et al.,2007,Ecology Letters,10:512-421,Esox lucius,yes,NA,survival,body length,0.17,,ns,,,
KingsolverDiamond,Carlson et al.,2007,Ecology Letters,10:512-421,Esox lucius,yes,NA,survival,body length,0.18,,ns,,,
KingsolverDiamond,Carlson et al.,2007,Ecology Letters,10:512-421,Esox lucius,yes,272,survival,body length,0.18,,,,,
KingsolverDiamond,Carlson et al.,2007,Ecology Letters,10:512-421,Esox lucius,yes,18,survival,body length,0.19,,ns,,,
KingsolverDiamond,Carlson et al.,2007,Ecology Letters,10:512-421,Esox lucius,yes,NA,survival,body length,0.21,,sig,,,
KingsolverDiamond,Carlson et al.,2007,Ecology Letters,10:512-421,Esox lucius,yes,18,survival,body length,0.22,,ns,,,
KingsolverDiamond,Carlson et al.,2007,Ecology Letters,10:512-421,Esox lucius,yes,NA,survival,body length,0.23,,sig,,,
KingsolverDiamond,Carlson et al.,2007,Ecology Letters,10:512-421,Esox lucius,yes,31,survival,body length,0.23,,ns,,,
KingsolverDiamond,Carlson et al.,2007,Ecology Letters,10:512-421,Esox lucius,yes,80,survival,body length,0.24,,sig,,,
KingsolverDiamond,Carlson et al.,2007,Ecology Letters,10:512-421,Esox lucius,yes,NA,survival,body length,0.25,,ns,,,
KingsolverDiamond,Carlson et al.,2007,Ecology Letters,10:512-421,Esox lucius,yes,84,survival,body length,0.28,,sig,,,
KingsolverDiamond,Carlson et al.,2007,Ecology Letters,10:512-421,Esox lucius,yes,NA,survival,body length,0.31,,sig,,,
KingsolverDiamond,Carlson et al.,2007,Ecology Letters,10:512-421,Esox lucius,yes,150,survival,body length,0.31,,sig,,,
KingsolverDiamond,Carlson et al.,2007,Ecology Letters,10:512-421,Esox lucius,yes,31,survival,body length,0.33,,sig,,,
KingsolverDiamond,Carlson et al.,2007,Ecology Letters,10:512-421,Esox lucius,yes,NA,survival,body length,0.39,,,,,
KingsolverDiamond,Carlson et al.,2007,Ecology Letters,10:512-421,Esox lucius,yes,242,survival,body length,0.46,,sig,,,
KingsolverDiamond,Carlson et al.,2008,Functional Ecology,22:663-673,Salmo trutta,yes,NA,survival,body length,-0.01,,ns,,,
KingsolverDiamond,Carlson et al.,2008,Functional Ecology,22:663-673,Salmo trutta,yes,308,survival,body length,0.01,,ns,,,
KingsolverDiamond,Carlson et al.,2008,Functional Ecology,22:663-673,Salmo trutta,yes,NA,survival,body length,0.01,,ns,,,
KingsolverDiamond,Carlson et al.,2008,Functional Ecology,22:663-673,Salmo trutta,yes,317,survival,body length,-0.02,,ns,,,
KingsolverDiamond,Carlson et al.,2008,Functional Ecology,22:663-673,Salmo trutta,yes,80,survival,body length,0.02,,ns,,,
KingsolverDiamond,Carlson et al.,2008,Functional Ecology,22:663-673,Salmo trutta,yes,127,survival,body length,0.03,,ns,,,
KingsolverDiamond,Carlson et al.,2008,Functional Ecology,22:663-673,Salmo trutta,yes,92,survival,body length,0.03,,ns,,,
KingsolverDiamond,Carlson et al.,2008,Functional Ecology,22:663-673,Salmo trutta,yes,NA,survival,body length,-0.05,,ns,,,
KingsolverDiamond,Carlson et al.,2008,Functional Ecology,22:663-673,Salmo trutta,yes,NA,survival,body length,-0.05,,ns,,,
KingsolverDiamond,Carlson et al.,2008,Functional Ecology,22:663-673,Salmo trutta,yes,NA,survival,body length,0.06,,ns,,,
KingsolverDiamond,Carlson et al.,2008,Functional Ecology,22:663-673,Salmo trutta,yes,NA,survival,body length,-0.08,,ns,,,
KingsolverDiamond,Carlson et al.,2008,Functional Ecology,22:663-673,Salmo trutta,yes,218,survival,body length,-0.08,,ns,,,
KingsolverDiamond,Carlson et al.,2008,Functional Ecology,22:663-673,Salmo trutta,yes,NA,survival,body length,-0.08,,ns,,,
KingsolverDiamond,Carlson et al.,2008,Functional Ecology,22:663-673,Salmo trutta,yes,65,survival,body length,0.08,,ns,,,
KingsolverDiamond,Carlson et al.,2008,Functional Ecology,22:663-673,Salmo trutta,yes,106,survival,body length,0.08,,ns,,,
KingsolverDiamond,Carlson et al.,2008,Functional Ecology,22:663-673,Salmo trutta,yes,248,survival,body length,0.09,,ns,,,
KingsolverDiamond,Carlson et al.,2008,Functional Ecology,22:663-673,Salmo trutta,yes,317,survival,body length,-0.14,,,,,
KingsolverDiamond,Carlson et al.,2008,Functional Ecology,22:663-673,Salmo trutta,yes,NA,survival,body length,-0.14,,ns,,,
KingsolverDiamond,Carlson et al.,2008,Functional Ecology,22:663-673,Salmo trutta,yes,68,survival,body length,-0.14,,ns,,,
KingsolverDiamond,Carlson et al.,2008,Functional Ecology,22:663-673,Salmo trutta,yes,NA,survival,body length,-0.14,,ns,,,
KingsolverDiamond,Carlson et al.,2008,Functional Ecology,22:663-673,Salmo trutta,yes,30,survival,body length,-0.14,,ns,,,
KingsolverDiamond,Carlson et al.,2008,Functional Ecology,22:663-673,Salmo trutta,yes,NA,survival,body length,-0.16,,sig,,,
KingsolverDiamond,Carlson et al.,2008,Functional Ecology,22:663-673,Salmo trutta,yes,NA,survival,body length,-0.17,,sig,,,
KingsolverDiamond,Carlson et al.,2008,Functional Ecology,22:663-673,Salmo trutta,yes,NA,survival,body length,-0.17,,ns,,,
KingsolverDiamond,Carlson et al.,2008,Functional Ecology,22:663-673,Salmo trutta,yes,NA,survival,body length,0.17,,sig,,,
KingsolverDiamond,Carlson et al.,2008,Functional Ecology,22:663-673,Salmo trutta,yes,NA,survival,body length,-0.27,,,,,
KingsolverDiamond,Carlson et al.,2008,Functional Ecology,22:663-673,Salmo trutta,yes,82,survival,body length,-0.5,,sig,,,
KingsolverDiamond,Carlson et al.,2008,Functional Ecology,22:663-673,Salmo trutta,yes,NA,survival,body length,,,ns,,,
KingsolverDiamond,Carlson et al.,2008,Functional Ecology,22:663-673,Salmo trutta,yes,116,survival,body length,,,ns,,,
DJW,Carlson Hendry Letcher,2004,Evolutionary Ecology Research,6:955-973,Salmo trutta,no,128,Survival,Initial Mass,-0.11,,ns,-0.11,,ns
DJW,Carlson Hendry Letcher,2004,Evolutionary Ecology Research,6:955-973,Salmo trutta,no,101,Survival,Initial Mass,-0.15,,sig,-0.15,,sig
DJW,Carlson Hendry Letcher,2004,Evolutionary Ecology Research,6:955-973,Salmo trutta,no,101,Survival,Growth,0.1,,ns,0.09,,ns
DJW,Carlson Hendry Letcher,2004,Evolutionary Ecology Research,6:955-973,Salmo trutta,no,67,Survival,Growth,-0.04,,ns,-0.04,,ns
DJW,Carlson Hendry Letcher,2004,Evolutionary Ecology Research,6:955-973,Salmo trutta,no,62,Survival,Growth,0.23,,ns,0.23,,ns
DJW,Carlson Hendry Letcher,2004,Evolutionary Ecology Research,6:955-973,Salmo trutta,no,128,Survival,Growth,-0.16,,ns,-0.16,,ns
DJW,Carlson Hendry Letcher,2004,Evolutionary Ecology Research,6:955-973,Salmo trutta,no,136,Survival,Growth,,,ns,,,ns
DJW,Carlson Hendry Letcher,2004,Evolutionary Ecology Research,6:955-973,Salmo trutta,no,58,Survival,Growth,0.23,,sig,0.23,,sig
DJW,Carlson Hendry Letcher,2004,Evolutionary Ecology Research,6:955-973,Salmo trutta,no,62,Survival,Initial Mass,-0.21,,ns,-0.21,,ns
DJW,Carlson Hendry Letcher,2004,Evolutionary Ecology Research,6:955-973,Salmo trutta,no,136,Survival,Initial Mass,0.01,,ns,0.01,,ns
DJW,Carlson Hendry Letcher,2004,Evolutionary Ecology Research,6:955-973,Salmo trutta,no,67,Survival,Initial Mass,-0.22,,ns,-0.21,,ns
DJW,Carlson Hendry Letcher,2004,Evolutionary Ecology Research,6:955-973,Salmo trutta,no,58,Survival,Initial Mass,-0.12,,ns,-0.12,,ns
DJW,Carlson Hendry Letcher,2004,Evolutionary Ecology Research,6:955-973,Salmo trutta,no,58,Survival,Initial Mass x Growth,,,,-0.61,,ns
DJW,Carlson Hendry Letcher,2004,Evolutionary Ecology Research,6:955-973,Salmo trutta,no,101,Survival,Initial Mass x Growth,,,,-0.51,,ns
DJW,Carlson Hendry Letcher,2004,Evolutionary Ecology Research,6:955-973,Salmo trutta,no,128,Survival,Initial Mass x Growth,,,,0.12,,ns
DJW,Carlson Hendry Letcher,2004,Evolutionary Ecology Research,6:955-973,Salmo trutta,no,62,Survival,Initial Mass x Growth,,,,0.42,,ns
DJW,Carlson Hendry Letcher,2004,Evolutionary Ecology Research,6:955-973,Salmo trutta,no,136,Survival,Initial Mass x Growth,,,,0.44,,ns
DJW,Carlson Hendry Letcher,2004,Evolutionary Ecology Research,6:955-973,Salmo trutta,no,67,Survival,Initial Mass x Growth,,,,0.61,,ns
JAL,Caruso et al ,2010,International J Plant Sciences,171:1020-1028,Lobelia siphilitica,yes,32,seeds per fruit,Flower color hue,,,,-0.23,0.104,sig
JAL,Caruso et al ,2010,International J Plant Sciences,171:1020-1028,Lobelia siphilitica,yes,32,seeds per fruit,Flower color brightness,,,,-0.03,0.104,ns
